Year,Debit,Credit,Net,Remarks,Label
FY23,30000.0,0,30000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",Services
FY23,270000.0,0,270000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",Services
FY23,250000.0,0,250000.0,Exp reclass entry in N2 (Godrej),Services
FY23,14500.0,0,14500.0,Dispenser Water - Frosty plus - (Make - Atlantis),Equipment
FY23,59400.0,0,59400.0,"Almirah - Office use , Steel Almirah with four shelves making five Compartment,",Equipment
FY23,59400.0,0,59400.0,"701257471208 Almirah - Office use , Steel Almirah with four shelves making five Compartment,",Equipment
FY23,12400.0,0,12400.0,Dispenser Water - Frosty plus - (Make - Atlantis),Equipment
FY23,12735479.0,0,12735479.0,Space matrix Cost T/f from project Upgradation of Toilets as G.F & 1st Floor (Interior & MEP Work of Accenture) Period-03/01/2022 to 15/03/2022 for Inv No RA-1(9312225024) Dt-15/03/2022 against WO/PO no SDPL/OP/2021/Dec/3653 Dt-03/01/2022 For T-3 For Code,Services
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,Services
FY23,30200.0,0,30200.0,1.5 Tr. Split AC - 2 Star - Non Inverter ( Daikin ),Equipment
FY23,1700.0,0,1700.0,Installation Charges Of Split AC,Equipment
FY23,5600.0,0,5600.0,Copper piping with 09MM Insulation- Mettube,Material
FY23,1000.0,0,1000.0,Electrical wiring 2.5 MM - 4 Core,Material
FY23,800.0,0,800.0,Drain Pipe 25 MM PVC with Insulation,Material
FY23,800.0,0,800.0,MS Stand for wall hanging ODU,Material
FY23,250000.0,0,250000.0,Consultancy Testing & Commissioning engineers/managers for – T11 HOTO,Services
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,3000000.0,0,3000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,9000000.0,0,9000000.0,Interior and MEP work of Tower-3 GF & FF Atrium As per Attach Order,Material
FY23,53400.0,0,53400.0,SITC of Camera licence for Server (Exacqvision),Services
FY23,312000.0,0,312000.0,Services Civil Work- Providing and fixing M.S.  rack Size = 71” (H) x 36” (L) x,Services
FY23,46400.0,0,46400.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,Services
FY23,4000.0,0,4000.0,Services Fire Fighting- FAS System-Supply installation testing and commissioning,Services
FY23,9000.0,0,9000.0,Services Fire Fighting- FAS System- Hooter cum Strobe Lights with output 85 Db a,Equipment
FY23,63000.0,0,63000.0,"Services Fire Fighting- FAS System- Supply, Laying, Testing & Commissioning of o",Services
FY23,10000.0,0,10000.0,Services Carpentry- Providing and installing wooden receiving desk 6' x 4'  as p,Services
FY23,1498291.5,0,1498291.5,Re-Furnishment of Ground Floor & First Floor Toilets of Tower 3 As per attach Or,Services
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,Services
