Year,Debit,Credit,Net,Remarks,Cluster,Label,Remarks_cleaned
FY23,30000.0,0,30000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",2,Material,services professional services consultancy architects services design at ameni
FY23,270000.0,0,270000.0,"Services Professional Services , Consultancy Architects Services Design at Ameni",2,Material,services professional services consultancy architects services design at ameni
FY23,250000.0,0,250000.0,Exp reclass entry in N2 (Godrej),0,Services,exp reclass entry in n2 godrej
FY23,14500.0,0,14500.0,Dispenser Water - Frosty plus - (Make - Atlantis),0,Services,dispenser water frosty plus make atlantis
FY23,59400.0,0,59400.0,"Almirah - Office use , Steel Almirah with four shelves making five Compartment,",0,Services,almirah office use steel almirah with four shelves making five compartment
FY23,59400.0,0,59400.0,"701257471208 Almirah - Office use , Steel Almirah with four shelves making five Compartment,",0,Services,almirah office use steel almirah with four shelves making five compartment
FY23,12400.0,0,12400.0,Dispenser Water - Frosty plus - (Make - Atlantis),0,Services,dispenser water frosty plus make atlantis
FY23,12735479.0,0,12735479.0,Space matrix Cost T/f from project Upgradation of Toilets as G.F & 1st Floor (Interior & MEP Work of Accenture) Period-03/01/2022 to 15/03/2022 for Inv No RA-1(9312225024) Dt-15/03/2022 against WO/PO no SDPL/OP/2021/Dec/3653 Dt-03/01/2022 For T-3 For Code,1,Equipment,space matrix cost tf from project upgradation of toilets as gf 1st floor interior mep work of accenture period to for inv no ra dt against wopo no sdplopdec dt for t for code
FY23,315000.0,0,315000.0,Provision reclass of Godrej May22,0,Services,provision reclass of godrej may22
FY23,30200.0,0,30200.0,1.5 Tr. Split AC - 2 Star - Non Inverter ( Daikin ),1,Equipment,tr split ac star non inverter daikin
FY23,1700.0,0,1700.0,Installation Charges Of Split AC,1,Equipment,installation charges of split ac
FY23,5600.0,0,5600.0,Copper piping with 09MM Insulation- Mettube,2,Material,copper piping with 09mm insulation mettube
FY23,1000.0,0,1000.0,Electrical wiring 2.5 MM - 4 Core,2,Material,electrical wiring mm core
FY23,800.0,0,800.0,Drain Pipe 25 MM PVC with Insulation,0,Services,drain pipe mm pvc with insulation
FY23,800.0,0,800.0,MS Stand for wall hanging ODU,0,Services,ms stand for wall hanging odu
